电影名,链接地址,图片,评分,简介
妈妈出差的夏天,http://www.1905.com/vod/play/874653.shtml,http://image11.m1905.cn/uploadfile/2015/0330/thumb_1_150_203_20150330024525818400.jpg,5.9,大爱人间温暖心田
电影名,链接地址,图片,评分,简介
解放2：突破,http://www.1905.com/vod/play/1391823.shtml,http://image11.m1905.cn/uploadfile/2019/0104/thumb_1_150_203_20190104102631599965.jpg,8.6,战争大片恢弘壮阔
第一书记,http://www.1905.com/vod/play/577977.shtml,http://image11.m1905.cn/uploadfile/2012/1015/thumb_1_150_203_20121015101648157.jpg,6.0,群星助阵感人至深
四渡赤水,http://www.1905.com/vod/play/733264.shtml,http://image11.m1905.cn/uploadfile/2014/0220/thumb_1_150_203_20140220113340568757.jpg,5.9,四渡赤水出奇制胜
冲出亚马逊,http://www.1905.com/vod/play/85388.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106110059564.jpg,6.0,侯勇电影处女之作
陆小凤传奇之陆小凤前传,http://www.1905.com/vod/play/85472.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106112759263.jpg,6.1,张智霖破假钞大案
葫芦兄弟,http://www.1905.com/vod/play/584497.shtml,http://image11.m1905.cn/uploadfile/2012/1023/thumb_1_150_203_20121023052146698.jpg,5.9,葫芦兄弟大战妖精
解放石家庄,http://www.1905.com/vod/play/86136.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106112111912.jpg,5.9,气势恢宏解放战争
摔跤少年,http://www.1905.com/vod/play/85626.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106113004424.jpg,6.8,山区孩子励志故事
陆小凤传奇之大金鹏王,http://www.1905.com/vod/play/85468.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106112755595.jpg,6.0,巧破密室夺命机关
大话西游之月光宝盒,http://www.1905.com/vod/play/85525.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106111554955.jpg,9.0,周星驰最经典喜剧
青苹果,http://www.1905.com/vod/play/305695.shtml,http://image11.m1905.cn/uploadfile/2013/0722/thumb_1_150_203_20130722055340382.jpg,7.0,海清青涩电影作品
木棉袈裟,http://www.1905.com/vod/play/85521.shtml,http://image11.m1905.cn/uploadfile/2018/0521/thumb_1_150_203_20180521034538662479.jpg,5.9,于荣光变卧底和尚
葫芦小金刚之迷梦迥旋,http://www.1905.com/vod/play/773165.shtml,http://image11.m1905.cn/uploadfile/2014/0702/thumb_1_150_203_20140702035652308935.jpg,6.0,葫芦兄弟连遭重创
红牡丹,http://www.1905.com/vod/play/358064.shtml,http://image11.m1905.cn/uploadfile/2016/0707/thumb_1_150_203_20160707103947266792.jpg,5.9,红角走南闯北寻父
烈火金钢,http://www.1905.com/vod/play/381644.shtml,http://image11.m1905.cn/uploadfile/2018/0521/thumb_1_150_203_20180521035142790817.jpg,5.9,葛优申军谊战争片
终极审判,http://www.1905.com/vod/play/1226395.shtml,http://image11.m1905.cn/uploadfile/2017/1025/thumb_1_150_203_20171025044703229451.jpg,5.9,民间法庭惩恶扬善
人生,http://www.1905.com/vod/play/875312.shtml,http://image11.m1905.cn/uploadfile/2018/0521/thumb_1_150_203_20180521042623327344.jpg,6.0,痴心女子遇负心汉
湘西剿匪记（上）,http://www.1905.com/vod/play/426002.shtml,http://image11.m1905.cn/uploadfile/2014/0919/thumb_1_150_203_20140919111336280893.jpg,5.9,遭遇重创奋起反击
陆小凤传奇之银钩赌坊,http://www.1905.com/vod/play/85476.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106112802507.jpg,5.9,武林秘笈隐藏天机
恐怖游泳馆,http://www.1905.com/vod/play/941592.shtml,http://image11.m1905.cn/uploadfile/2015/1028/thumb_1_150_203_20151028040133232966.jpg,5.9,比基尼盛宴惹人醉
血战湘江,http://www.1905.com/vod/play/1259504.shtml,http://image11.m1905.cn/uploadfile/2017/1206/thumb_1_150_203_20171206100748281606.jpg,7.3,沉痛祭奠五万英烈
铜雀台,http://www.1905.com/vod/play/633232.shtml,http://image11.m1905.cn/uploadfile/2014/0123/thumb_1_150_203_20140123021110271284.jpg,5.9,刘亦菲为影片献身
陆小凤传奇之血衣之谜,http://www.1905.com/vod/play/85475.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106112801834.jpg,6.0,张智霖护皇室孤本
五女拜寿,http://www.1905.com/vod/play/875581.shtml,http://image11.m1905.cn/uploadfile/2012/0601/thumb_1_150_203_20120601022043238.jpg,5.9,金鸡奖最佳戏曲奖
电影名,链接地址,图片,评分,简介
杀生,http://www.1905.com/vod/play/600518.shtml,http://image11.m1905.cn/uploadfile/2012/0416/thumb_1_150_203_20120416044104971.jpg,7.5,疯癫黄渤诡异来袭
窃听风云3,http://www.1905.com/vod/play/836279.shtml,http://image11.m1905.cn/uploadfile/2014/1222/thumb_1_150_203_20141222010254961710.jpg,5.9,男神齐聚土豪争霸
义侠勇闯上海滩,http://www.1905.com/vod/play/362065.shtml,http://image11.m1905.cn/uploadfile/2013/0719/thumb_1_150_203_20130719054630299.jpg,5.9,群英汇大闹上海滩
聊斋·席方平,http://www.1905.com/vod/play/411121.shtml,http://image11.m1905.cn/uploadfile/2015/0428/thumb_1_150_203_20150428113400538727.jpg,5.9,马伊琍痴情恋沙溢
山林喋血,http://www.1905.com/vod/play/85506.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106110244602.jpg,5.9,苍茫山林人狼奇缘
洪学智黑河剿匪,http://www.1905.com/vod/play/675171.shtml,http://image11.m1905.cn/uploadfile/2013/0723/thumb_1_150_203_20130723095453203.jpg,5.9,解放军山林剿土匪
杀破狼2,http://www.1905.com/vod/play/957796.shtml,http://image11.m1905.cn/uploadfile/2015/1211/thumb_1_150_203_20151211010829660352.jpg,9.2,吴京对决托尼·贾
大进军-解放大西北,http://www.1905.com/vod/play/550061.shtml,http://image11.m1905.cn/uploadfile/2016/0426/thumb_1_150_203_20160426032648792225.jpg,8.0,彭德怀挥师定西北
新警察故事,http://www.1905.com/vod/play/85404.shtml,http://image11.m1905.cn/uploadfile/2012/1203/thumb_1_150_203_20121203102952476.jpg,6.0,成龙大哥老戏新唱 
太行山上,http://www.1905.com/vod/play/85424.shtml,http://image11.m1905.cn/uploadfile/2012/1204/thumb_1_150_203_20121204025517528.jpg,6.0,中国首部抗战大片
大渡河,http://www.1905.com/vod/play/479707.shtml,http://image11.m1905.cn/uploadfile/2012/1212/thumb_1_150_203_20121212042448819.jpg,5.9,红军不畏惧远征难
101次求婚,http://www.1905.com/vod/play/640706.shtml,http://image11.m1905.cn/uploadfile/2013/0526/thumb_1_150_203_20130526062923742.jpg,8.8,黄渤喜牵志玲姐姐
功夫之王,http://www.1905.com/vod/play/304856.shtml,http://image11.m1905.cn/uploadfile/2008/0922/thumb_1_150_203_134221503.jpg,5.9,李冰冰化白发魔女
陆小凤传奇之凤舞九天,http://www.1905.com/vod/play/85469.shtml,http://image11.m1905.cn/uploadfile/2009/1106/thumb_1_150_203_20091106112756296.jpg,6.0,狮城国宝美女出演
长征,http://www.1905.com/vod/play/716836.shtml,http://image11.m1905.cn/uploadfile/2013/1223/thumb_1_150_203_20131223042754246523.jpg,5.9,万里长征胜利会师
法本无情,http://www.1905.com/vod/play/86408.shtml,http://image11.m1905.cn/uploadfile/2016/0322/thumb_1_150_203_20160322021804797958.jpg,6.3,黄秋生演变态男人
