高级web前端开发,同业云(上海)人工智能科技有限公司,16K-23K,大专
售前支持总监（售前咨询）,北京捷通华声科技股份有限公司,25K-50K,本科
语音识别算法工程师,碧桂园控股,薪资面议,本科
高薪诚聘课程顾问,上海高顿企业管理咨询有限公司,12K-18K,大专
前端开发工程师（移动混合开发）,同业云(上海)人工智能科技有限公司,10K-15K,本科
销售总监,北京捷通华声科技股份有限公司,25K-50K,本科
嵌入式软件开发,江苏创通电子股份有限公司,10K-15K,本科
高级前端开发工程师,同业云(上海)人工智能科技有限公司,15K-20K,本科
售前技术支持工程师,北京捷通华声科技股份有限公司,10K-20K,本科
交通工程师,上海电科智能系统股份有限公司,8K-15K,本科
（宝尊2020校招）开发工程师G02282,上海宝尊电子商务有限公司,13K-15K,本科
智能驾驶研究产品经理,帝亚一维新能源汽车有限公司,10K-20K,本科
高级咨询顾问,智联RPO,20K-30K,本科
项目经理（实施交付）,北京捷通华声科技股份有限公司,15K-30K,本科
（总部）测试工程师,上海源耀生物股份有限公司,10K-18K,大专
商务助理,美数信息科技(上海)有限公司,5K-8K,大专
幼儿/少儿英语老师（浦江）,雄潮科技(上海)有限责任公司,5K-10K,大专
市场总监/市场经理,西安人瑞人力资源服务有限公司,10K-15K,大专
部门助理,美数信息科技(上海)有限公司,4K-8K,大专
售前解决方案经理,深圳光启高等理工研究院,15K-20K,本科
风控建模,成都天符人瑞教育有限公司5,15K-20K,本科
底薪6k|销售专员（应届生）,上海傲梦网络科技有限公司,8K-13K,大专
科创课程讲师,上海烩客科技有限公司,8K-14K,本科
高薪课程顾问（大小休 福利待遇好）,上海傲梦网络科技有限公司,10K-15K,大专
销售顾问（带薪培训+精准客户）,上海傲梦网络科技有限公司,10K-15K,大专
应届生-研发岗,维正知识产权服务有限公司,20K-30K,本科
课程顾问（提供房源+精准客户）,上海傲梦网络科技有限公司,10K-15K,大专
销售经理（区域：上海）,北京捷通华声科技股份有限公司,10K-20K,本科
软件项目经理（金融项目背景）,深圳市法本信息技术股份有限公司,20K-30K,本科
用户研究员 知名金融科技企业,北京外企德科人力资源服务上海有限公司,9K-12K,本科
互联网销售经理,金瓜子科技发展(北京)有限公司,15K-20K,大专
互联网猎头顾问-只合作BAT和Global类客户,上海博赫管理咨询有限公司,5K-10K,本科
IT Senior Engineer总部IT资深工程师,百胜中国,15K-25K,本科
深度学习算法工程师,碧桂园控股,薪资面议,硕士
计算机视觉硬件分析师,上海布眼人工智能科技有限公司,8K-10K,本科
边缘计算工程师,中移(上海)信息通信科技有限公司,薪资面议,硕士
CV算法资深工程师2801,OPPO广东移动通信有限公司,30K-50K,硕士
电商AI系统数据分析师,百胜中国,20K-30K,本科
交付经理,深圳市法本信息技术股份有限公司,15K-20K,本科
对账运营助理 知名金融科技平台 财务优先,北京外企德科人力资源服务上海有限公司,6K-7K,本科
ISO27001审核员,广州赛宝认证中心服务有限公司,8K-15K,本科
高级算法工程师（工业能源领域）,中移(上海)信息通信科技有限公司,薪资面议,硕士
Java开发工程师,瞬联讯通科技(北京)有限公司,15K-30K,本科
博士后助理研究员,中国科学院上海微系统与信息技术研究所,10K-20K,博士
纺织机械工程师,上海布眼人工智能科技有限公司,10K-15K,大专
SFJ-运筹优化算法工程师,顺丰科技有限公司,薪资面议,硕士
用户研究员 知名金融科技平台,北京外企德科人力资源服务上海有限公司,8K-12K,本科
产品总监,上海傲梦网络科技有限公司,30K-40K,本科
前端开发工程师,中移(上海)信息通信科技有限公司,薪资面议,本科
